id	AnimalID	Timepoint	Diet	Treatment	Treament-Descr	Timepoint-Descr
M399	2F	9	GOS	FMT-control	GOS+FMT-control	PostFMTD2
M400	8D	29	GOS	Consortium	GOS+Consortium	PostC.diffDay8
M401	3C	29	Control	Consortium	Control+Consortium	PostC.diffDay8
M402	1H	29	GOS	FMT-GOS	GOS+FMT-GOS	PostC.diffDay8
M403	6D	31	GOS	Consortium	GOS+Consortium	EndpointColonContent
M404	4G	7	Control	FMT-GOS	Control+FMT-GOS	PreFMT
M405	3D	30	GOS	Consortium	GOS+Consortium	PostC.diffDay9
M406	4C	27	Control	Consortium	Control+Consortium	PostC.diffDay6
M407	1G	13	Control	FMT-GOS	Control+FMT-GOS	PostFMTD6
M408	8D	31	GOS	Consortium	GOS+Consortium	EndpointColonContent
M409	4A	7	Control	Control	Control	PreFMT
M410	3G	31	Control	FMT-GOS	Control+FMT-GOS	EndpointColonContent
M411	4A	27	Control	Control	Control	PostC.diffDay6
M412	6C	12	Control	Consortium	Control+Consortium	PostFMTD5
M413	4F	0	GOS	FMT-control	GOS+FMT-control	PostStandardization
M414	5D	27	GOS	Consortium	GOS+Consortium	PostC.diffDay6
M415	7D	30	GOS	Consortium	GOS+Consortium	PostC.diffDay9
M416	6D	23	GOS	Consortium	GOS+Consortium	PostC.diffDay2
M417	6C	22	Control	Consortium	Control+Consortium	PostC.diffDay1-PreFMT3
M418	3B	21	GOS	Control	GOS	PreC.diff-PostFMT2
M419	1C	26	Control	Consortium	Control+Consortium	PostC.diffDay5
M420	2F	22	GOS	FMT-control	GOS+FMT-control	PostC.diffDay1-PreFMT3
M421	2G	7	Control	FMT-GOS	Control+FMT-GOS	PreFMT
M422	6H	27	GOS	FMT-GOS	GOS+FMT-GOS	PostC.diffDay6
M423	2D	7	GOS	Consortium	GOS+Consortium	PreFMT
M424	2G	14	Control	FMT-GOS	Control+FMT-GOS	PostFMTD7-PreAntibiotics
M425	Consortium1	-1	NA	NA	Consortium1	
M426	2E	31	Control	FMT-control	Control+FMT-control	EndpointColonContent
M427	1A	30	Control	Control	Control	PostC.diffDay9
M428	8C	9	Control	Consortium	Control+Consortium	PostFMTD2
M429	Consortium3	-1	NA	NA	Consortium3	
M430	7C	0	Control	Consortium	Control+Consortium	PostStandardization
M431	8C	12	Control	Consortium	Control+Consortium	PostFMTD5
M432	7D	21	GOS	Consortium	GOS+Consortium	PreC.diff-PostFMT2
M433	1C	29	Control	Consortium	Control+Consortium	PostC.diffDay8
M434	6H	8	GOS	FMT-GOS	GOS+FMT-GOS	PostFMTD1
M435	4H	26	GOS	FMT-GOS	GOS+FMT-GOS	PostC.diffDay5
M436	5G	12	Control	FMT-GOS	Control+FMT-GOS	PostFMTD5
M437	5C	28	Control	Consortium	Control+Consortium	PostC.diffDay7
M438	4H	7	GOS	FMT-GOS	GOS+FMT-GOS	PreFMT
M439	3H	12	GOS	FMT-GOS	GOS+FMT-GOS	PostFMTD5
M440	5A	22	Control	Control	Control	PostC.diffDay1-PreFMT3
M441	2E	13	Control	FMT-control	Control+FMT-control	PostFMTD6
M442	3C	23	Control	Consortium	Control+Consortium	PostC.diffDay2
M443	4F	22	GOS	FMT-control	GOS+FMT-control	PostC.diffDay1-PreFMT3
M444	4A	22	Control	Control	Control	PostC.diffDay1-PreFMT3
M445	5A	21	Control	Control	Control	PreC.diff-PostFMT2
M446	3D	7	GOS	Consortium	GOS+Consortium	PreFMT
M447	5D	23	GOS	Consortium	GOS+Consortium	PostC.diffDay2
M448	6E	22	Control	FMT-control	Control+FMT-control	PostC.diffDay1-PreFMT3
M449	2A	23	Control	Control	Control	PostC.diffDay2
M450	5C	13	Control	Consortium	Control+Consortium	PostFMTD6
M451	1G	27	Control	FMT-GOS	Control+FMT-GOS	PostC.diffDay6
M452	1B	14	GOS	Control	GOS	PostFMTD7-PreAntibiotics
M453	3E	28	Control	FMT-control	Control+FMT-control	PostC.diffDay7
M454	1D	31	GOS	Consortium	GOS+Consortium	EndpointColonContent
M455	4E	30	Control	FMT-control	Control+FMT-control	PostC.diffDay9
M456	6D	13	GOS	Consortium	GOS+Consortium	PostFMTD6
M457	2D	23	GOS	Consortium	GOS+Consortium	PostC.diffDay2
M458	4C	14	Control	Consortium	Control+Consortium	PostFMTD7-PreAntibiotics
M459	6D	30	GOS	Consortium	GOS+Consortium	PostC.diffDay9
M460	6F	9	GOS	FMT-control	GOS+FMT-control	PostFMTD2
M461	2A	22	Control	Control	Control	PostC.diffDay1-PreFMT3
M462	1H	7	GOS	FMT-GOS	GOS+FMT-GOS	PreFMT
M463	4G	27	Control	FMT-GOS	Control+FMT-GOS	PostC.diffDay6
M464	7D	0	GOS	Consortium	GOS+Consortium	PostStandardization
M465	3G	27	Control	FMT-GOS	Control+FMT-GOS	PostC.diffDay6
M466	4A	14	Control	Control	Control	PostFMTD7-PreAntibiotics
M467	4A	31	Control	Control	Control	EndpointColonContent
M468	1D	29	GOS	Consortium	GOS+Consortium	PostC.diffDay8
M469	6G	31	Control	FMT-GOS	Control+FMT-GOS	EndpointColonContent
M470	6G	13	Control	FMT-GOS	Control+FMT-GOS	PostFMTD6
M471	5E	8	Control	FMT-control	Control+FMT-control	PostFMTD1
M472	1F	14	GOS	FMT-control	GOS+FMT-control	PostFMTD7-PreAntibiotics
M473	4G	23	Control	FMT-GOS	Control+FMT-GOS	PostC.diffDay2
M474	5F	22	GOS	FMT-control	GOS+FMT-control	PostC.diffDay1-PreFMT3
M475	6D	7	GOS	Consortium	GOS+Consortium	PreFMT
M476	7C	26	Control	Consortium	Control+Consortium	PostC.diffDay5
M477	6F	13	GOS	FMT-control	GOS+FMT-control	PostFMTD6
M478	3B	30	GOS	Control	GOS	PostC.diffDay9
M481	2G	21	Control	FMT-GOS	Control+FMT-GOS	PreC.diff-PostFMT2
M482	2E	14	Control	FMT-control	Control+FMT-control	PostFMTD7-PreAntibiotics
M483	5C	22	Control	Consortium	Control+Consortium	PostC.diffDay1-PreFMT3
M484	3H	9	GOS	FMT-GOS	GOS+FMT-GOS	PostFMTD2
M485	1B	12	GOS	Control	GOS	PostFMTD5
M486	2B	14	GOS	Control	GOS	PostFMTD7-PreAntibiotics
M487	4E	23	Control	FMT-control	Control+FMT-control	PostC.diffDay2
M488	1H	9	GOS	FMT-GOS	GOS+FMT-GOS	PostFMTD2
M489	2C	13	Control	Consortium	Control+Consortium	PostFMTD6
M490	2H	14	GOS	FMT-GOS	GOS+FMT-GOS	PostFMTD7-PreAntibiotics
M491	2A	21	Control	Control	Control	PreC.diff-PostFMT2
M492	5D	12	GOS	Consortium	GOS+Consortium	PostFMTD5
M493	5G	13	Control	FMT-GOS	Control+FMT-GOS	PostFMTD6
M494	5C	7	Control	Consortium	Control+Consortium	PreFMT
M495	1G	29	Control	FMT-GOS	Control+FMT-GOS	PostC.diffDay8
M496	3H	14	GOS	FMT-GOS	GOS+FMT-GOS	PostFMTD7-PreAntibiotics
M497	4G	9	Control	FMT-GOS	Control+FMT-GOS	PostFMTD2
M498	8D	14	GOS	Consortium	GOS+Consortium	PostFMTD7-PreAntibiotics
M499	1C	12	Control	Consortium	Control+Consortium	PostFMTD5
M500	7D	8	GOS	Consortium	GOS+Consortium	PostFMTD1
M501	5F	14	GOS	FMT-control	GOS+FMT-control	PostFMTD7-PreAntibiotics
M502	1A	8	Control	Control	Control	PostFMTD1
M503	4G	31	Control	FMT-GOS	Control+FMT-GOS	EndpointColonContent
M504	4D	8	GOS	Consortium	GOS+Consortium	PostFMTD1
M505	4G	12	Control	FMT-GOS	Control+FMT-GOS	PostFMTD5
M506	6H	29	GOS	FMT-GOS	GOS+FMT-GOS	PostC.diffDay8
M507	2C	22	Control	Consortium	Control+Consortium	PostC.diffDay1-PreFMT3
M508	1H	22	GOS	FMT-GOS	GOS+FMT-GOS	PostC.diffDay1-PreFMT3
M509	1E	12	Control	FMT-control	Control+FMT-control	PostFMTD5
M510	4H	14	GOS	FMT-GOS	GOS+FMT-GOS	PostFMTD7-PreAntibiotics
M511	4C	23	Control	Consortium	Control+Consortium	PostC.diffDay2
M512	5G	29	Control	FMT-GOS	Control+FMT-GOS	PostC.diffDay8
M513	6D	29	GOS	Consortium	GOS+Consortium	PostC.diffDay8
M514	Consortium2	-1	NA	NA	Consortium2	
M515	3G	23	Control	FMT-GOS	Control+FMT-GOS	PostC.diffDay2
M516	5H	12	GOS	FMT-GOS	GOS+FMT-GOS	PostFMTD5
M517	2H	13	GOS	FMT-GOS	GOS+FMT-GOS	PostFMTD6
M518	3G	13	Control	FMT-GOS	Control+FMT-GOS	PostFMTD6
M519	2A	27	Control	Control	Control	PostC.diffDay6
M520	4A	21	Control	Control	Control	PreC.diff-PostFMT2
M521	6G	30	Control	FMT-GOS	Control+FMT-GOS	PostC.diffDay9
M522	1G	14	Control	FMT-GOS	Control+FMT-GOS	PostFMTD7-PreAntibiotics
M523	4H	23	GOS	FMT-GOS	GOS+FMT-GOS	PostC.diffDay2
M524	3D	8	GOS	Consortium	GOS+Consortium	PostFMTD1
M525	2B	23	GOS	Control	GOS	PostC.diffDay2
M526	1G	31	Control	FMT-GOS	Control+FMT-GOS	EndpointColonContent
M527	3G	8	Control	FMT-GOS	Control+FMT-GOS	PostFMTD1
M528	3D	9	GOS	Consortium	GOS+Consortium	PostFMTD2
M529	3B	12	GOS	Control	GOS	PostFMTD5
M530	2C	8	Control	Consortium	Control+Consortium	PostFMTD1
M531	4C	8	Control	Consortium	Control+Consortium	PostFMTD1
M532	8D	8	GOS	Consortium	GOS+Consortium	PostFMTD1
M533	3C	14	Control	Consortium	Control+Consortium	PostFMTD7-PreAntibiotics
M534	5E	28	Control	FMT-control	Control+FMT-control	PostC.diffDay7
M535	3A	8	Control	Control	Control	PostFMTD1
M536	5D	29	GOS	Consortium	GOS+Consortium	PostC.diffDay8
M537	2B	29	GOS	Control	GOS	PostC.diffDay8
M538	1E	26	Control	FMT-control	Control+FMT-control	PostC.diffDay5
M539	2D	28	GOS	Consortium	GOS+Consortium	PostC.diffDay7
M540	5C	23	Control	Consortium	Control+Consortium	PostC.diffDay2
M541	7C	31	Control	Consortium	Control+Consortium	EndpointColonContent
M542	1E	23	Control	FMT-control	Control+FMT-control	PostC.diffDay2
M543	3F	13	GOS	FMT-control	GOS+FMT-control	PostFMTD6
M544	6D	22	GOS	Consortium	GOS+Consortium	PostC.diffDay1-PreFMT3
M545	4A	8	Control	Control	Control	PostFMTD1
M546	2C	23	Control	Consortium	Control+Consortium	PostC.diffDay2
M547	7D	23	GOS	Consortium	GOS+Consortium	PostC.diffDay2
M548	5G	28	Control	FMT-GOS	Control+FMT-GOS	PostC.diffDay7
M549	2B	8	GOS	Control	GOS	PostFMTD1
M550	8C	28	Control	Consortium	Control+Consortium	PostC.diffDay7
M551	2A	28	Control	Control	Control	PostC.diffDay7
M552	3E	29	Control	FMT-control	Control+FMT-control	PostC.diffDay8
M553	4C	29	Control	Consortium	Control+Consortium	PostC.diffDay8
M554	5G	14	Control	FMT-GOS	Control+FMT-GOS	PostFMTD7-PreAntibiotics
M555	6E	21	Control	FMT-control	Control+FMT-control	PreC.diff-PostFMT2
M556	5F	31	GOS	FMT-control	GOS+FMT-control	EndpointColonContent
M557	3C	28	Control	Consortium	Control+Consortium	PostC.diffDay7
M558	5D	13	GOS	Consortium	GOS+Consortium	PostFMTD6
M559	6C	27	Control	Consortium	Control+Consortium	PostC.diffDay6
M560	3H	29	GOS	FMT-GOS	GOS+FMT-GOS	PostC.diffDay8
M561	6H	14	GOS	FMT-GOS	GOS+FMT-GOS	PostFMTD7-PreAntibiotics
M562	1E	22	Control	FMT-control	Control+FMT-control	PostC.diffDay1-PreFMT3
M563	4H	27	GOS	FMT-GOS	GOS+FMT-GOS	PostC.diffDay6
M564	1A	27	Control	Control	Control	PostC.diffDay6
M565	1D	27	GOS	Consortium	GOS+Consortium	PostC.diffDay6
M566	1F	21	GOS	FMT-control	GOS+FMT-control	PreC.diff-PostFMT2
M567	5A	29	Control	Control	Control	PostC.diffDay8
M568	4C	21	Control	Consortium	Control+Consortium	PreC.diff-PostFMT2
M569	8C	30	Control	Consortium	Control+Consortium	PostC.diffDay9
M570	2E	7	Control	FMT-control	Control+FMT-control	PreFMT
M571	5E	29	Control	FMT-control	Control+FMT-control	PostC.diffDay8
M572	2E	21	Control	FMT-control	Control+FMT-control	PreC.diff-PostFMT2
M573	3E	21	Control	FMT-control	Control+FMT-control	PreC.diff-PostFMT2
M574	3C	22	Control	Consortium	Control+Consortium	PostC.diffDay1-PreFMT3
M577	2H	30	GOS	FMT-GOS	GOS+FMT-GOS	PostC.diffDay9
M578	8D	23	GOS	Consortium	GOS+Consortium	PostC.diffDay2
M579	2F	28	GOS	FMT-control	GOS+FMT-control	PostC.diffDay7
M580	6G	9	Control	FMT-GOS	Control+FMT-GOS	PostFMTD2
M581	7D	7	GOS	Consortium	GOS+Consortium	PreFMT
M582	6G	22	Control	FMT-GOS	Control+FMT-GOS	PostC.diffDay1-PreFMT3
M583	5A	26	Control	Control	Control	PostC.diffDay5
M584	6F	23	GOS	FMT-control	GOS+FMT-control	PostC.diffDay2
M585	2H	27	GOS	FMT-GOS	GOS+FMT-GOS	PostC.diffDay6
M586	5E	7	Control	FMT-control	Control+FMT-control	PreFMT
M587	3F	29	GOS	FMT-control	GOS+FMT-control	PostC.diffDay8
M588	3B	9	GOS	Control	GOS	PostFMTD2
M589	2D	0	GOS	Consortium	GOS+Consortium	PostStandardization
M590	4E	12	Control	FMT-control	Control+FMT-control	PostFMTD5
M591	4A	0	Control	Control	Control	PostStandardization
M592	1C	28	Control	Consortium	Control+Consortium	PostC.diffDay7
M593	6E	9	Control	FMT-control	Control+FMT-control	PostFMTD2
M594	4G	30	Control	FMT-GOS	Control+FMT-GOS	PostC.diffDay9
M595	3H	13	GOS	FMT-GOS	GOS+FMT-GOS	PostFMTD6
M596	1C	7	Control	Consortium	Control+Consortium	PreFMT
M597	4H	22	GOS	FMT-GOS	GOS+FMT-GOS	PostC.diffDay1-PreFMT3
M598	4E	26	Control	FMT-control	Control+FMT-control	PostC.diffDay5
M599	4C	0	Control	Consortium	Control+Consortium	PostStandardization
M600	2E	12	Control	FMT-control	Control+FMT-control	PostFMTD5
M601	3B	8	GOS	Control	GOS	PostFMTD1
M602	2B	26	GOS	Control	GOS	PostC.diffDay5
M603	4D	29	GOS	Consortium	GOS+Consortium	PostC.diffDay8
M604	5C	0	Control	Consortium	Control+Consortium	PostStandardization
M605	3A	0	Control	Control	Control	PostStandardization
M606	5F	7	GOS	FMT-control	GOS+FMT-control	PreFMT
M607	1A	12	Control	Control	Control	PostFMTD5
M608	4G	8	Control	FMT-GOS	Control+FMT-GOS	PostFMTD1
M609	3C	21	Control	Consortium	Control+Consortium	PreC.diff-PostFMT2
M610	4A	28	Control	Control	Control	PostC.diffDay7
M611	1G	30	Control	FMT-GOS	Control+FMT-GOS	PostC.diffDay9
M612	5C	30	Control	Consortium	Control+Consortium	PostC.diffDay9
M613	3F	23	GOS	FMT-control	GOS+FMT-control	PostC.diffDay2
M614	6D	9	GOS	Consortium	GOS+Consortium	PostFMTD2
M615	2B	7	GOS	Control	GOS	PreFMT
M616	4E	8	Control	FMT-control	Control+FMT-control	PostFMTD1
M617	3C	9	Control	Consortium	Control+Consortium	PostFMTD2
M618	3F	0	GOS	FMT-control	GOS+FMT-control	PostStandardization
M619	3C	13	Control	Consortium	Control+Consortium	PostFMTD6
M620	4E	14	Control	FMT-control	Control+FMT-control	PostFMTD7-PreAntibiotics
M621	4G	22	Control	FMT-GOS	Control+FMT-GOS	PostC.diffDay1-PreFMT3
M622	2G	0	Control	FMT-GOS	Control+FMT-GOS	PostStandardization
M623	3C	31	Control	Consortium	Control+Consortium	EndpointColonContent
M624	6G	0	Control	FMT-GOS	Control+FMT-GOS	PostStandardization
M625	5F	0	GOS	FMT-control	GOS+FMT-control	PostStandardization
M626	5H	8	GOS	FMT-GOS	GOS+FMT-GOS	PostFMTD1
M627	3D	31	GOS	Consortium	GOS+Consortium	EndpointColonContent
M628	2E	26	Control	FMT-control	Control+FMT-control	PostC.diffDay5
M629	1E	29	Control	FMT-control	Control+FMT-control	PostC.diffDay8
M630	1A	23	Control	Control	Control	PostC.diffDay2
M631	1E	31	Control	FMT-control	Control+FMT-control	EndpointColonContent
M632	2G	27	Control	FMT-GOS	Control+FMT-GOS	PostC.diffDay6
M633	8C	14	Control	Consortium	Control+Consortium	PostFMTD7-PreAntibiotics
M634	3E	8	Control	FMT-control	Control+FMT-control	PostFMTD1
M635	2C	30	Control	Consortium	Control+Consortium	PostC.diffDay9
M636	6E	14	Control	FMT-control	Control+FMT-control	PostFMTD7-PreAntibiotics
M637	4A	30	Control	Control	Control	PostC.diffDay9
M638	4F	31	GOS	FMT-control	GOS+FMT-control	EndpointColonContent
M639	6D	28	GOS	Consortium	GOS+Consortium	PostC.diffDay7
M640	6E	30	Control	FMT-control	Control+FMT-control	PostC.diffDay9
M641	6H	13	GOS	FMT-GOS	GOS+FMT-GOS	PostFMTD6
M642	4D	23	GOS	Consortium	GOS+Consortium	PostC.diffDay2
M643	3C	8	Control	Consortium	Control+Consortium	PostFMTD1
M644	2G	9	Control	FMT-GOS	Control+FMT-GOS	PostFMTD2
M645	3D	12	GOS	Consortium	GOS+Consortium	PostFMTD5
M646	6E	12	Control	FMT-control	Control+FMT-control	PostFMTD5
M647	3A	28	Control	Control	Control	PostC.diffDay7
M648	1G	28	Control	FMT-GOS	Control+FMT-GOS	PostC.diffDay7
M649	3H	8	GOS	FMT-GOS	GOS+FMT-GOS	PostFMTD1
M650	3G	21	Control	FMT-GOS	Control+FMT-GOS	PreC.diff-PostFMT2
M651	4E	0	Control	FMT-control	Control+FMT-control	PostStandardization
M652	8C	7	Control	Consortium	Control+Consortium	PreFMT
M653	5A	28	Control	Control	Control	PostC.diffDay7
M654	8C	26	Control	Consortium	Control+Consortium	PostC.diffDay5
M655	4G	26	Control	FMT-GOS	Control+FMT-GOS	PostC.diffDay5
M656	1A	7	Control	Control	Control	PreFMT
M657	2H	28	GOS	FMT-GOS	GOS+FMT-GOS	PostC.diffDay7
M658	5C	8	Control	Consortium	Control+Consortium	PostFMTD1
M659	2H	29	GOS	FMT-GOS	GOS+FMT-GOS	PostC.diffDay8
M660	3H	31	GOS	FMT-GOS	GOS+FMT-GOS	EndpointColonContent
M661	5F	13	GOS	FMT-control	GOS+FMT-control	PostFMTD6
M662	5H	13	GOS	FMT-GOS	GOS+FMT-GOS	PostFMTD6
M663	2F	0	GOS	FMT-control	GOS+FMT-control	PostStandardization
M664	1B	22	GOS	Control	GOS	PostC.diffDay1-PreFMT3
M665	ControlFMT	-1	NA	NA	Control+FMT	
M666	3E	14	Control	FMT-control	Control+FMT-control	PostFMTD7-PreAntibiotics
M667	3B	7	GOS	Control	GOS	PreFMT
M668	1E	8	Control	FMT-control	Control+FMT-control	PostFMTD1
M669	5E	9	Control	FMT-control	Control+FMT-control	PostFMTD2
M670	2F	14	GOS	FMT-control	GOS+FMT-control	PostFMTD7-PreAntibiotics
M673	4F	23	GOS	FMT-control	GOS+FMT-control	PostC.diffDay2
M674	1C	9	Control	Consortium	Control+Consortium	PostFMTD2
M675	7D	29	GOS	Consortium	GOS+Consortium	PostC.diffDay8
M676	1C	13	Control	Consortium	Control+Consortium	PostFMTD6
M677	6G	21	Control	FMT-GOS	Control+FMT-GOS	PreC.diff-PostFMT2
M678	6H	7	GOS	FMT-GOS	GOS+FMT-GOS	PreFMT
M679	4G	14	Control	FMT-GOS	Control+FMT-GOS	PostFMTD7-PreAntibiotics
M680	3G	9	Control	FMT-GOS	Control+FMT-GOS	PostFMTD2
M681	8D	7	GOS	Consortium	GOS+Consortium	PreFMT
M682	5H	28	GOS	FMT-GOS	GOS+FMT-GOS	PostC.diffDay7
M683	6E	8	Control	FMT-control	Control+FMT-control	PostFMTD1
M684	6H	0	GOS	FMT-GOS	GOS+FMT-GOS	PostStandardization
M685	3E	12	Control	FMT-control	Control+FMT-control	PostFMTD5
M686	1F	28	GOS	FMT-control	GOS+FMT-control	PostC.diffDay7
M687	2B	30	GOS	Control	GOS	PostC.diffDay9
M688	4F	26	GOS	FMT-control	GOS+FMT-control	PostC.diffDay5
M689	5A	9	Control	Control	Control	PostFMTD2
M690	1F	8	GOS	FMT-control	GOS+FMT-control	PostFMTD1
M691	3F	8	GOS	FMT-control	GOS+FMT-control	PostFMTD1
M692	2D	30	GOS	Consortium	GOS+Consortium	PostC.diffDay9
M693	4G	21	Control	FMT-GOS	Control+FMT-GOS	PreC.diff-PostFMT2
M694	2B	0	GOS	Control	GOS	PostStandardization
M695	1C	30	Control	Consortium	Control+Consortium	PostC.diffDay9
M696	1E	21	Control	FMT-control	Control+FMT-control	PreC.diff-PostFMT2
M697	4D	7	GOS	Consortium	GOS+Consortium	PreFMT
M698	5F	21	GOS	FMT-control	GOS+FMT-control	PreC.diff-PostFMT2
M699	1H	13	GOS	FMT-GOS	GOS+FMT-GOS	PostFMTD6
M700	2E	9	Control	FMT-control	Control+FMT-control	PostFMTD2
M701	1C	21	Control	Consortium	Control+Consortium	PreC.diff-PostFMT2
M702	3E	22	Control	FMT-control	Control+FMT-control	PostC.diffDay1-PreFMT3
M703	3C	7	Control	Consortium	Control+Consortium	PreFMT
M704	8D	26	GOS	Consortium	GOS+Consortium	PostC.diffDay5
M705	4H	12	GOS	FMT-GOS	GOS+FMT-GOS	PostFMTD5
M706	1E	27	Control	FMT-control	Control+FMT-control	PostC.diffDay6
M707	5H	9	GOS	FMT-GOS	GOS+FMT-GOS	PostFMTD2
M708	1D	8	GOS	Consortium	GOS+Consortium	PostFMTD1
M709	5D	14	GOS	Consortium	GOS+Consortium	PostFMTD7-PreAntibiotics
M710	1H	23	GOS	FMT-GOS	GOS+FMT-GOS	PostC.diffDay2
M711	6G	29	Control	FMT-GOS	Control+FMT-GOS	PostC.diffDay8
M712	3G	22	Control	FMT-GOS	Control+FMT-GOS	PostC.diffDay1-PreFMT3
M713	1E	7	Control	FMT-control	Control+FMT-control	PreFMT
M714	7D	14	GOS	Consortium	GOS+Consortium	PostFMTD7-PreAntibiotics
M715	1D	26	GOS	Consortium	GOS+Consortium	PostC.diffDay5
M716	6F	29	GOS	FMT-control	GOS+FMT-control	PostC.diffDay8
M717	2H	21	GOS	FMT-GOS	GOS+FMT-GOS	PreC.diff-PostFMT2
M718	5G	21	Control	FMT-GOS	Control+FMT-GOS	PreC.diff-PostFMT2
M719	1B	31	GOS	Control	GOS	EndpointColonContent
M720	5H	30	GOS	FMT-GOS	GOS+FMT-GOS	PostC.diffDay9
M721	5D	28	GOS	Consortium	GOS+Consortium	PostC.diffDay7
M722	3B	14	GOS	Control	GOS	PostFMTD7-PreAntibiotics
M723	7D	27	GOS	Consortium	GOS+Consortium	PostC.diffDay6
M724	4A	26	Control	Control	Control	PostC.diffDay5
M725	4C	30	Control	Consortium	Control+Consortium	PostC.diffDay9
M726	5E	21	Control	FMT-control	Control+FMT-control	PreC.diff-PostFMT2
M727	7C	9	Control	Consortium	Control+Consortium	PostFMTD2
M728	2B	28	GOS	Control	GOS	PostC.diffDay7
M729	5E	22	Control	FMT-control	Control+FMT-control	PostC.diffDay1-PreFMT3
M730	4E	27	Control	FMT-control	Control+FMT-control	PostC.diffDay6
M731	3B	26	GOS	Control	GOS	PostC.diffDay5
M732	5G	23	Control	FMT-GOS	Control+FMT-GOS	PostC.diffDay2
M733	5D	22	GOS	Consortium	GOS+Consortium	PostC.diffDay1-PreFMT3
M734	6E	26	Control	FMT-control	Control+FMT-control	PostC.diffDay5
M735	5F	30	GOS	FMT-control	GOS+FMT-control	PostC.diffDay9
M736	3A	23	Control	Control	Control	PostC.diffDay2
M737	3F	26	GOS	FMT-control	GOS+FMT-control	PostC.diffDay5
M738	7D	26	GOS	Consortium	GOS+Consortium	PostC.diffDay5
M739	5D	0	GOS	Consortium	GOS+Consortium	PostStandardization
M740	8C	8	Control	Consortium	Control+Consortium	PostFMTD1
M741	4F	8	GOS	FMT-control	GOS+FMT-control	PostFMTD1
M742	3D	28	GOS	Consortium	GOS+Consortium	PostC.diffDay7
M743	6H	9	GOS	FMT-GOS	GOS+FMT-GOS	PostFMTD2
M744	5E	31	Control	FMT-control	Control+FMT-control	EndpointColonContent
M745	3A	7	Control	Control	Control	PreFMT
M746	1F	7	GOS	FMT-control	GOS+FMT-control	PreFMT
M747	4G	0	Control	FMT-GOS	Control+FMT-GOS	PostStandardization
M748	3F	9	GOS	FMT-control	GOS+FMT-control	PostFMTD2
M749	6F	21	GOS	FMT-control	GOS+FMT-control	PreC.diff-PostFMT2
M750	7D	28	GOS	Consortium	GOS+Consortium	PostC.diffDay7
M751	1B	29	GOS	Control	GOS	PostC.diffDay8
M752	5D	31	GOS	Consortium	GOS+Consortium	EndpointColonContent
M753	4H	9	GOS	FMT-GOS	GOS+FMT-GOS	PostFMTD2
M754	6F	26	GOS	FMT-control	GOS+FMT-control	PostC.diffDay5
M755	3F	7	GOS	FMT-control	GOS+FMT-control	PreFMT
M756	8C	22	Control	Consortium	Control+Consortium	PostC.diffDay1-PreFMT3
M757	3F	12	GOS	FMT-control	GOS+FMT-control	PostFMTD5
M758	5E	27	Control	FMT-control	Control+FMT-control	PostC.diffDay6
M759	2E	29	Control	FMT-control	Control+FMT-control	PostC.diffDay8
M760	4A	23	Control	Control	Control	PostC.diffDay2
M761	6H	31	GOS	FMT-GOS	GOS+FMT-GOS	EndpointColonContent
M762	1B	27	GOS	Control	GOS	PostC.diffDay6
M763	5E	14	Control	FMT-control	Control+FMT-control	PostFMTD7-PreAntibiotics
M764	7C	29	Control	Consortium	Control+Consortium	PostC.diffDay8
M765	6E	0	Control	FMT-control	Control+FMT-control	PostStandardization
M766	3B	31	GOS	Control	GOS	EndpointColonContent
